x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m)
    1,  139,      0.0033,      0.9238,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  140,      0.0033,      0.9305,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  141,      0.0033,      0.9371,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  142,      0.0033,      0.9438,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  143,      0.0033,      0.9505,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  144,      0.0033,      0.9571,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  145,      0.0033,      0.9638,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  146,      0.0033,      0.9705,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  147,      0.0033,      0.9772,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  148,      0.0033,      0.9838,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  149,      0.0033,      0.9905,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  150,      0.0033,      0.9972,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    1,      0.0100,      0.0033,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    2,      0.0100,      0.0100,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    3,      0.0100,      0.0167,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    4,      0.0100,      0.0233,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    5,      0.0100,      0.0300,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    6,      0.0100,      0.0367,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    7,      0.0100,      0.0434,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    8,      0.0100,      0.0500,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,    9,      0.0100,      0.0567,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   10,      0.0100,      0.0634,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   11,      0.0100,      0.0700,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   12,      0.0100,      0.0767,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   13,      0.0100,      0.0834,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   14,      0.0100,      0.0900,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   15,      0.0100,      0.0967,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   16,      0.0100,      0.1034,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   17,      0.0100,      0.1101,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   18,      0.0100,      0.1167,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   19,      0.0100,      0.1234,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   20,      0.0100,      0.1301,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   21,      0.0100,      0.1367,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   22,      0.0100,      0.1434,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   23,      0.0100,      0.1501,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   24,      0.0100,      0.1567,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   25,      0.0100,      0.1634,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   26,      0.0100,      0.1701,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   27,      0.0100,      0.1768,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   28,      0.0100,      0.1834,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   29,      0.0100,      0.1901,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   30,      0.0100,      0.1968,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    2,   31,      0.0100,      0.2034,      0.1850,      0.0025,      0.1825,      0.6794,      0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
